word,translation
Cheapest hotels,Labing barato nga mga hotel
Cheap calls,Barato nga tawag
Languages,Mga pinulongan
Language,Pinulongan
Calendar,Kalendaryo
Availability calendar,Kalendaryo sa pagkaanaa
Availability calendar quantity set,Gitakda ang gidaghanon sa kalendaryo nga magamit
Detailed calendar,Detalyado nga kalendaryo
Booking Calendar,Kalendaryo sa Pag-book
Bookings calendar,Kalendaryo sa pag-book
Camera activated,Gi-activate ang camera
Camera not activated,Ang camera dili aktibo
Channel,Channel
Booking Channel,Channel sa Pag-book
Channels,Mga kanal
ChannelCalendar,ChannelCalendar
Card number,Numero sa kard
Availability calendar quantity do not exist,Ang gidaghanon sa kalendaryo nga magamit wala maglungtad
Comment,Komento
Configuration,Pag-configure
Competitors,Mga kakompetensya
Competition,Kompetisyon
Contact,Kontaka
Contract,Kontrata
Contact us,Kontaka kami
Coordinates,Mga koordinasyon
Copy,Kopyaha
Create,Paghimo
Create new accounting,Paghimo bag-ong accounting
Create new task,Paghimo og bag-ong buluhaton
Create new booking,Paghimo og bag-ong booking
Create your listings,Paghimo sa imong mga listahan
Create video,Paghimo og video
beds,mga higdaanan
Beds,Mga higdaanan
Guest House,Guest House
bath,pagkaligo
Bathrooms,Mga banyo
Buy 1H of remote support,Pagpalit 1H sa hilit nga suporta
Coupon,kupon
Checklist,Checklist
Location,Lokasyon
can be found here,makita dinhi
Best,Labing maayo
Best hotels,Labing maayo nga mga hotel
Cheapest,Labing barato
Largest,Pinakadako
Largest hotels,Pinakadako nga mga hotel
Approval text,Teksto sa pag-apruba
Advanced payments,Mga advanced nga pagbayad
Advanced menu,Advanced nga menu
Advanced calendar,Advanced nga kalendaryo
Left,Wala
Back,Balik
DASHBOARD,DASHBOARD
Few Steps,Pipila ka Lakang
Don't have an account,Walay account
Fabulous,Talagsaon
Holder,Naghupot
Name on card,Ngalan sa card
About apartment,Mahitungod sa apartment
About hotel,Mahitungod sa hotel
About client,Mahitungod sa kliyente
About,Mahitungod sa
About order,Mahitungod sa order
About our product,Mahitungod sa among produkto
About this location,Mahitungod niini nga lokasyon
About this listing,Mahitungod niini nga listahan
About booking,Mahitungod sa pagpareserba
About balance,Mahitungod sa balanse
About company,Mahitungod sa kompanya
About service,Mahitungod sa serbisyo
Delete,Pagtangtang
Delete & open availability,Pagtangtang ug pag-abli sa pagkaanaa
Cleaned,Gilimpyohan
From,gikan sa
Choose property,Pilia ang kabtangan
Checked,Gisusi
Answer,Tubag
Check-out,Check-out
Checkout,Checkout
Checked out,Gisusi
Checked-Out,Naka-check-out
Approved,Giaprobahan
Comma separated,Gibulag ang comma
Advertising,Advertising
Description,Deskripsyon
Description,Deskripsyon
Cancelled email custom text,Gikansela ang email nga naandan nga teksto
Cancelled,Gikanselar
Check help videos,Tan-awa ang mga video sa tabang
Departures,Mga pagbiya
Departure,Pagbiya
Departure,Pagbiya
Help,Tabang
Help tasks,Mga buluhaton sa pagtabang
Discounts,Mga diskwento
Custom Range,Pasadya nga Range
Channels setup,Pag-setup sa mga channel
Confirmation,Pagkumpirma
Background,Background
By Check-In,Pinaagi sa Check-In
Download,Pag-download
Income,Kita
Income by channel,Kita pinaagi sa channel
Income by manager,Kita sa manager
Income by room,Kita pinaagi sa lawak
Income by type,Kita pinaagi sa tipo
Income Expense,Gasto sa Kita
Agree to terms and conditions,Pag-uyon sa mga termino ug kondisyon
I accept the booking,Gidawat nako ang booking
Agreement & Submit,Kasabutan ug Isumite
Check-in,Pag-check-in
Checked in,Naka-check in
Checked-In,Naka-check-In
Approval email custom text,Pag-apruba sa custom nga teksto sa email
Discount code,Discount code
Find your answers here,Pangitaa ang imong mga tubag dinhi
City average price,Average nga presyo sa siyudad
First login password,Unang login password
Full name,Tibuok nga ngalan
Bill to,Bill sa
Accounting calendar,Kalendaryo sa accounting
Accounting,Accounting
Accounting by type,Accounting pinaagi sa tipo
Date Range,Sakop sa Petsa
Bookable rooms,Bookable nga mga lawak
Available rooms,Anaa nga mga lawak
Availability days,Mga adlaw nga magamit
Available,Anaa
Chat,Chat
Booking,Pagpareserba
Booking active,Aktibo ang pag-book
Booking will be deleted forever,Ang booking mapapas hangtod sa hangtod
Bookings do not exist,Ang mga pag-book wala maglungtad
Booking Approved,Giaprobahan ang Booking
Bookings,Mga reserbasyon
Bookings exist on system,Ang mga booking anaa sa sistema
Book,Libro
Book it,I-book kini
Book the best hotel room,Pag-book sa labing kaayo nga kwarto sa hotel
Book the best hotel room right now!,Pag-book sa labing kaayo nga kwarto sa hotel karon!
Exp. date,Exp. petsa
Booking Summary,Summary sa Booking
Expensive,Mahal
Images,Mga hulagway
agreement,kasabutan
Average Price,Average nga Presyo
Average,Average
Balance,Balanse
Balance 0,Balanse 0
BalanceByMonth,BalanceByMonth
Availability calendar rates do not exist,Ang mga rate sa kalendaryo sa pagkaanaa wala maglungtad
Availability calendar rates set,Gitakda ang mga rate sa kalendaryo sa pagkaanaa
Foreigner,langyaw
All rights reserved,Tanang katungod gigahin
All Rights Reserved.,Tanang Katungod Gigahin.
All,Tanan
All Africa Apartments,Tanan nga Africa Apartments
All Apartments,Tanang Apartments
All Australian Apartments,Tanan nga mga apartment sa Australia
All Asian Apartments,Tanan nga Asian Apartments
All MiddleEast Apartments,Tanan nga MiddleEast Apartments
All Central American Apartments,Tanan nga Central American Apartments
All European Apartments,Tanan nga European Apartments
All hotels,Tanang hotel
All hotels in one place,Ang tanan nga mga hotel sa usa ka lugar
All channels,Tanan nga channel
All channels,Tanan nga channel
All Latin American Apartments,Tanan nga Latin American Apartments
All preferred hotels,Ang tanan nga gusto nga mga hotel
All South American Apartments,Tanan nga South American Apartments
All North America Apartments,Tanan nga North America Apartments
All Logs,Tanan nga Log
Contributors needed,Gikinahanglan ang mga kontribyutor
Need help,Nagkinahanglan ug tabang
Expense by type,Gasto pinaagi sa tipo
Expenses,Mga gasto
Expenses,Mga gasto
in,sa
Loading,Nagkarga
Distance,Distansiya
Hosted by,Gi-host ni
Availability log entries,Availability log entries
Calendar log entries,Mga entry sa log sa kalendaryo
Enter your details,Isulod ang imong mga detalye
Enter city here,Pagsulod sa siyudad dinhi
Enter keyword here,Pagsulod sa keyword dinhi
Enter your password,Ibutang ang imong password
Enter your password,Ibutang ang imong password
Edit,Edit
Edit listing,I-edit ang listahan
Edit booking,I-edit ang booking
Bulk inventory edit,Pag-edit sa daghang imbentaryo
Import,Import
Booking import active,Aktibo ang pag-import sa booking
Booking import not active,Ang pag-import sa pag-book dili aktibo
Currency,Salapi
Currency is missing,Kulang ang kuwarta
Currency is set,Gitakda ang kuwarta
Currencies,Mga kuwarta
CARD HOLDER,NAGHAWAG SA CARD
Check out time,Pagsusi sa oras
For investors,Para sa mga investors
for subscribers,para sa mga subscriber
For foreigner,Para sa langyaw
Forgot Password,Nakalimot sa Password
Last month,Sa miaging bulan
Last Month,Sa miaging Bulan
Last Week,Sa miaging semana
Last week,Sa miaging semana
Last 30 Days,Miagi nga 30 ka Adlaw
Last 7 Days,Katapusan nga 7 ka Adlaw
Credits,Mga kredito
Earn money,Pagkita og kwarta
Close,Duol
Completed tasks,Nahuman nga mga buluhaton
Completed,Nakompleto
Complete,Kompleto
End date,Petsa sa pagtapos
Count / Year,Ihap / Tuig
Features,Mga bahin
Earn $15 cash reward,Pag-angkon og $15 cash reward
Get free $25 travel credits,Pagkuha og libre nga $25 nga mga kredito sa pagbiyahe
One page sample url,Usa ka panid nga sample url
Per day,Kada adlaw
Per day,Kada adlaw
Enter your password. Min 10 characters long. Click on key to generate it,Ibutang ang imong password. Min 10 ka karakter ang gitas-on. Pag-klik sa yawe aron makamugna kini
One page website,Usa ka panid nga website
2 days before,2 ka adlaw sa wala pa
Prepay percent more than 7 days,Prepay porsyento labaw sa 7 ka adlaw
Prepay percent less than 7 days,Prepay nga porsyento ubos sa 7 ka adlaw
Airbnb listings,Mga listahan sa Airbnb
Invalid cc email custom text,Dili balido nga cc email custom nga teksto
Show CC,Ipakita ang CC
Cron log entries,Cron log entries
Please enter cvv code,Palihug ibutang ang cvv code
Expedia import not active,Ang import sa Expedia dili aktibo
Expedia import active,Aktibo ang import sa Expedia
Expedia active,Expedia aktibo
Google log entries,Mga entry sa log sa Google
iCAL import,iCAL import
iCAL import url,iCAL import nga url
iCal Matrix import not active,Ang import sa iCal Matrix dili aktibo
iCAL Matrix import active,Aktibo ang import sa iCAL Matrix
iCAL export,iCAL export
iCAL calendar export/import (AirBnb & other providers),iCAL calendar export/import (AirBnb ug uban pang providers)
iCAL export url,iCAL export url
iCAL Calendar export,iCAL Calendar export
ICAL matrix,ICAL matrix
ICAL  matrix,ICAL matrix
Id,Id
JS errors,Mga sayop sa JS
MyAllocator Channel,MyAllocator Channel
Safebox text,Safebox nga teksto
Sms,Sms
SMS,SMS
Sms log entries,Sms log entries
SMS Templates,Mga Template sa SMS
Want to send SMS,Gusto magpadala ug SMS
Log sms,Log sms
You can use our partners Stripe.com or Sumup.com to get payment directly after the booking. Please set Stripe or Sumup settings first,Mahimo nimong gamiton ang among mga kauban nga Stripe.com o Sumup.com aron makadawat direkta nga bayad pagkahuman sa booking. Palihug ibutang una ang mga setting sa Stripe o Sumup
Edit Stripe settings,I-edit ang mga setting sa Stripe
Edit Sumup settings,I-edit ang mga setting sa Sumup
XML Calendar,XML Kalendaryo
Set XML quantity price,Ibutang ang XML nga kantidad sa presyo
XML Availability rates calendar,XML Availability rates kalendaryo
I have an idea,naa koy idea
Show accounting,Ipakita ang accounting
Active hotels,Aktibo nga mga hotel
Update,Update
Upload,Pag-upload
Only 1 step and all Airbnb data will be accesible from Nobeds system,1 lang ka lakang ug tanang data sa Airbnb ang ma-access gikan sa Nobeds system
Your email address,Ang imong email address
Your listings,Ang imong mga listahan
"We will import all your listings, bookings, calendar availability and rates automatically","Awtomatikong i-import namo ang tanan nimong mga listahan, bookings, available nga kalendaryo ug mga presyo"
Your budget,Imong budget
Your booking at,Ang imong booking sa
This is your reservation confirmation at,Kini ang imong kumpirmasyon sa pagpareserba sa
Your location,Ang imong lokasyon
Your country,Ang imong nasud
Your average price,Ang imong average nga presyo
Your details,Ang imong mga detalye
Your details,Ang imong mga detalye
Your features,Ang imong mga bahin
Affiliate program,Affiliate nga programa
Thank you,Salamat
Survey,Survey
Complete the survey,Kompletoha ang survey
Survey questions,Mga pangutana sa survey
Oldest hotels,Labing karaan nga mga hotel
Only a few steps to make your life easier!,Pipila lang ka mga lakang aron mapasayon ​​ang imong kinabuhi!
Information,Impormasyon
Website,Website
Websites,Mga website
Error log entries,Error log entries
Log errors,Mga sayop sa log
Log entires do not exist,Ang tibuok nga log wala maglungtad
Owner,Tag-iya
Overbookings,Mga overbooking
Recommended for you,Girekomenda alang kanimo
Option,Opsyon
Please enter your name,Palihug isulod ang imong ngalan
Please enter your full name,Palihug isulod ang imong tibuok nga ngalan
Try to change dates or contact,Sulayi ang pag-usab sa mga petsa o kontak
Please enter card holder,Palihug isulod ang card holder
Please enter card details,Palihug isulod ang mga detalye sa kard
Pay with card,Bayad gamit ang kard
Paid CC,Gibayran nga CC
Invalid CC,Dili balido nga CC
Please enter card number,Palihug isulod ang numero sa kard
Set your custom emails,Ibutang ang imong naandan nga mga email
Show calendar,Ipakita ang kalendaryo
Log calendar,Kalendaryo sa log
Calendar settings,Mga setting sa kalendaryo
Gallery URL,URL sa gallery
Send cancelation email,Ipadala ang email sa pagkansela
Show cancelled,Gikansela ang pasundayag
Show cancelled,Gikansela ang pasundayag
Show clean,Ipakita nga limpyo
Show clean,Ipakita nga limpyo
Quick actions,Dali nga mga aksyon
Quick setup,Dali nga setup
Quick logs,Dali nga mga log
Information about credit card,Impormasyon bahin sa credit card
Our dear customers said about us,Ang among minahal nga mga kostumer nagsulti bahin kanamo
Please select nr. of guests,Palihug pilia ang nr. sa mga bisita
Total sales by guest,Total nga halin sa bisita
This listing is on peopleâ€™s minds,Kini nga listahan naa sa hunahuna sa mga tawo
Who's coming,Kinsay moabot
Show competition,Ipakita ang kompetisyon
Your booking paid at,Ang imong booking nagbayad sa
You must agree before submitting,Kinahanglan nga mouyon ka sa dili pa mosumite
"If you have any questions, please contact us","Kung naa kay pangutana, palihog kontaka mi"
"If you have any questions concerning this invoice, use the following contact information","Kung aduna kay mga pangutana mahitungod niini nga invoice, gamita ang mosunod nga impormasyon sa pagkontak"
Services,Mga serbisyo
Service,Serbisyo
service,serbisyo
Services log entries,Mga entry sa log sa serbisyo
Log services,Mga serbisyo sa log
Sign to Account,Sign sa Account
Sign In,Sign In
Signature text,Teksto sa pirma
Sub type,Sub type
Support center,Sentro sa pagsuporta
Need support,Nagkinahanglan og suporta
Sample,Sampol
Share,Ipaambit
Set single use rate,Itakda ang single use rate
Simple Calendar,Yano nga Kalendaryo
Soon,Sa dili madugay
Staff,Mga kawani
Status,Status
Statuses,Mga status
IncomeByStatus,KitaByStatus
Total sales by Status,Kinatibuk-ang halin pinaagi sa Status
All listings,Tanan nga listahan
Smart,Smart
Safebox,Safebox
Send safebox sms,Ipadala ang safebox sms
Send safebox email,Ipadala ang safebox email
Security,Seguridad
Show setup help,Ipakita ang tabang sa pag-setup
Show set availability,Ipakita ang pagkaanaa sa set
Show set rates & quantity,Ipakita ang gitakda nga mga rate ug gidaghanon
Show set rates,Ipakita ang gitakda nga mga rate
Self check-in,Self check-in
Other,Ang uban
Total other expenses,Kinatibuk-ang ubang gasto
Other info,Ubang impormasyon
Title,Titulo
Type,Type
Set type,Itakda ang tipo
Total income by Type,Total nga kita sa Type
ExpenseByType,ExpenseByType
Total expenses by Type,Kinatibuk-ang gasto sa Type
Session Timeout Notification,Pagpahibalo sa Timeout sa Sesyon
Your session is about to expire,Hapit na ma-expire ang imong session
TimeZone,TimeZone
Timeline,Timeline
Tasks,Mga buluhaton
Task,Buluhaton
Disable tasks,I-disable ang mga buluhaton
Show tasks,Ipakita ang mga buluhaton
Show tasks,Ipakita ang mga buluhaton
Dashboard,Dashboard
Dashboard settings,Mga setting sa dashboard
Credits - contributors wanted!,Mga kredito - gusto ang mga kontribyutor!
Please select check out date,Palihug pilia ang petsa sa pagsusi
Show checked-out,Ipakita ang naka-check-out
Show checked-out,Ipakita ang naka-check-out
Please select check in date,Palihug pilia ang petsa sa pag-check in
Show checked-in,Ipakita ang naka-check-in
Show checked-in,Ipakita ang naka-check-in
Settings checklist,Checklist sa mga setting
Show charts,Ipakita ang mga tsart
Show channels,Ipakita ang mga channel
Show channels,Ipakita ang mga channel
IncomeByChannel,KitaByChannel
Total sales by Channel,Total nga halin sa Channel
Show tooltips,Ipakita ang mga tooltip
Display settings,Mga setting sa pagpakita
Text2Reach,Text2Reach
Text2Reach settings,Mga setting sa Text2Reach
Top channels,Nanguna nga mga channel
Disable top channels,I-disable ang mga top channel
Disable top rooms,Pag-disable sa ibabaw nga mga lawak
Top sources,Nanguna nga mga tinubdan
Top rooms,Ibabaw nga mga lawak
Top countries,Nanguna nga mga nasud
Top cities,Nanguna nga mga siyudad
Very good,Maayo kaayo
Powered by,Gipadagan sa
No show,Walay show
Note,Nota
I found a bug,Nakakita kog bug
Password,Password
Password,Password
Pasw updated,Gi-update ang pasw
Change password,Usba ang password
More video help,Dugang tabang sa video
Change view settings,Usba ang mga setting sa pagtan-aw
Sort,Pagsunud-sunod
Font size,Gidak-on sa font
Privacy,Pagkapribado
Show prepaid,Ipakita ang prepaid
Show prepaid,Ipakita ang prepaid
Preview,Preview
Print proforma,I-print ang proforma
Send proforma,Ipadala ang proforma
Promotions,Mga promosyon
Discount codes,Mga code sa diskwento
Show promotions,Ipakita ang mga promosyon
To,Sa
Page url,url sa panid
bed,higdaanan
Trip to,Biyahe sa
Need help? Contact us,Nagkinahanglan ug tabang? Kontaka kami
Start help tour,Pagsugod ug tabang tour
Help & tips,Tabang ug mga tip
Show help,Ipakita ang tabang
Home,Balay
More recommendations,Dugang rekomendasyon
Register as new host,Pagrehistro isip bag-ong host
Show popup,Ipakita ang popup
Hotels from A to Z,Mga hotel gikan sa A hangtod Z
Delete hotel,Pagtangtang sa hotel
Horror,kalisang
My tasks,Akong mga buluhaton
Map,Mapa
manager cleanliness overview by days,overview sa kalimpyo sa manager sa mga adlaw
Manager overview,Overview sa manager
Multi Calendar,Daghang Kalendaryo
Multi Booking Engine,Daghang Booking Engine
Email log entries,Email log entries
Valid property email,Balido nga email sa kabtangan
Please specify your email,Palihug ipiho ang imong email
You can automate your emails. Please fill out all fields and system will do rest of job.,Mahimo nimong i-automate ang imong mga email. Palihog sulati ang tanan nga mga field ug sistema ang mobuhat sa nahabilin nga trabaho.
Log emails,Pag-log sa mga email
Get email reminder,Pagkuha og pahinumdom sa email
Main coordinates,Panguna nga mga coordinate
Main info,Pangunang impormasyon
Messages,Mga mensahe
Menu,Menu
Need more,Nagkinahanglan ug dugang
More,Dugang pa
Please fill in all settings fields to get the best performance of app,Palihog pun-i ang tanang natad sa mga setting aron makuha ang pinakamaayo nga performance sa app
Most popular hotels,Labing popular nga mga hotel
User,Gumagamit
Username,Username
Good,Maayo
Good job,Maayong trabaho
Live Reviews,Live nga mga Review
Listings,Mga listahan
Listings info missing data,Ang impormasyon sa listahan kulang sa datos
Listings info need more data,Ang impormasyon sa listahan nanginahanglan dugang nga datos
Listings page,Mga panid sa listahan
Listings coordinates,Mga koordinasyon sa listahan
Listing,Paglista
"Listing changed, do you want to save & update availability","Nabag-o ang lista, gusto ba nimo i-save ug i-update ang pagkaanaa"
Listings photos,Mga litrato sa listahan
Please select your listing,Palihug pilia ang imong listahan
Reminder email custom text,Pahinumdum email custom text
Review,Pagrepaso
Reviews,Mga review
With review,Uban sa pagrepaso
Review link,Link sa pagsusi
Disable reviews,I-disable ang mga review
Show reviews,Ipakita ang mga review
Show reviews,Ipakita ang mga review
Show reviews,Ipakita ang mga review
Show reviews,Ipakita ang mga review
Review overview,Kinatibuk-ang pagrepaso
Review count,Ihap sa pagrepaso
Rental,Pag-abang
Rentals page,Panid sa pag-abang
List of log entries,Listahan sa mga entry sa log
Logs,Mga troso
Logos,Mga logo
Log out,Log out
Log in,Log in
Login,Login
Logins,Mga login
Login log entries,Mga entry sa log sa pag-login
Log logins,Log logins
Log entries,Mga entry sa log
Log off,Log off
Delete logs,Pagtangtang sa mga log
Disable logs,I-disable ang mga log
Show logs,Ipakita ang mga log
Logo,Logo
Logo url,Logo url
Show logos,Ipakita ang mga logo
Please select at least one listing,Palihug pagpili ug labing menos usa ka listahan
Per person,Matag tawo
Per person,Matag tawo
Please complete all fields to get the best app results,Palihug kompletoha ang tanan nga mga natad aron makuha ang labing kaayo nga mga resulta sa app
Main,Panguna
General missing data,Kinatibuk-ang nawala nga datos
General need more data,Kinatibuk-an nanginahanglan dugang nga datos
General filled,General napuno
Set General,Ibutang General
Scroll to the top,Pag-scroll sa taas
Disable top countries,I-disable ang nag-una nga mga nasud
World's,sa kalibutan
World's All Apartments,Ang Tanan nga Apartments sa Kalibutan
World's Best hotels,Labing maayo nga mga hotel sa kalibutan
World's All hotels,Ang tanan nga mga hotel sa kalibutan
World's Largest hotels,Pinakadako nga hotel sa kalibutan
World's Cheapest hotels,Pinakabarato nga mga hotel sa kalibutan
World's Smallest hotels,Ang pinakagamay nga hotel sa kalibutan
World's Worst hotels,Ang pinakagrabe nga mga hotel sa kalibutan
World's Most expensive hotels,Ang labing mahal nga mga hotel sa kalibutan
Show sorting,Ipakita ang paghan-ay
Orders,Mga order
Orders without prepay,Mga order nga walay prepay
Order id,Order id
"ORDER SUCCESSFULY CANCELLED, AVAILABILITY UPDATED","MALAMPUSONG NA-CANCEL ANG ORDER, NA-UPDATE ANG AVAILABILITY"
Place order,Ibutang ang order
Request to Book,Paghangyo nga Mag-book
List of orders,Listahan sa mga order
Booking listings,Mga listahan sa pag-book
Delete bookings,Pagtangtang sa mga booking
Show bookings,Ipakita ang mga booking
Show booking,Ipakita ang pagpareserba
Show bookings,Ipakita ang mga booking
In booking price,Sa presyo sa booking
Set 0 to calculate from booking price,Itakda ang 0 aron makalkulo gikan sa presyo sa booking
Order info,Impormasyon sa pag-order
Person,tawo
Rooms by occupancy,Mga lawak pinaagi sa pag-okupar
Popular,Popular
right now,karon dayon
Get the best hotel room right now!,Kuhaa ang labing kaayo nga kwarto sa hotel karon!
Future bookings,Umaabot nga mga booking
Disable today calendar,I-disable ang kalendaryo karon
"""Show today calendar","""Ipakita karong adlawa ang kalendaryo"
